t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
modoc_north,laevissimus,new,herculeanus,0.0851441583705174,0.0808080808080808,0.090628507295174,0.0811772434237385,0.0780022446689113,0.0855780022446689,0.833678598205744,0.827160493827161,0.839506172839506,3564
modoc_north,laevissimus,new,novaeboracensis,0.092351186637611,0.0886644219977553,0.0962401795735129,0.0859567911958599,0.0833333333333333,0.0889450305681904,0.821692022166529,0.815375982042649,0.827441077441077,3564
modoc_north,laevissimus,new,hybrid,0.0542679428339991,0.0488215488215488,0.0572390572390572,0.0616391292314342,0.0552749719416386,0.0648148148148148,0.884092927934567,0.878787878787879,0.893659061071566,3564
modoc_north,laevissimus,new,modoc_south,0.0342617626202324,0.0311447811447811,0.0375981937154339,0.0438778223361886,0.0406846240179574,0.0493827160493827,0.921860415043579,0.914702581369248,0.926206769418285,3564
modoc_north,laevissimus,new,modoc_west,0.0574177826475352,0.0527497194163861,0.0614478114478114,0.0703522237794809,0.0659371307696042,0.0754769921436588,0.872229993572984,0.865319865319865,0.879068462401796,3564
modoc_north,laevissimus,new,chromaiodes,0.362438748581403,0.36026936026936,0.365039281705948,0.436258670057593,0.434062728938628,0.438271727910137,0.201302581361004,0.199214365881033,0.203703703703704,3564
modoc_north,laevissimus,new,pennsylvanicus,0.287639410040675,0.284511784511784,0.29040404040404,0.353278744698725,0.350448933782267,0.356341189674523,0.359081845260599,0.356060606060606,0.361952861952862,3564
modoc_north,laevissimus,herculeanus,novaeboracensis,0.796626525712631,0.766273849607183,0.845117845117845,0.132027976480145,0.102693631507753,0.14983164983165,0.0713454978072229,0.0502244668911336,0.0925925925925926,3564
modoc_north,laevissimus,herculeanus,hybrid,0.321213080647189,0.294893378226712,0.346240179573513,0.140149240453998,0.133557800224467,0.150673400673401,0.538637678898814,0.518237934904602,0.565937308063218,3564
modoc_north,laevissimus,herculeanus,modoc_south,0.120623127243025,0.11475866589263,0.128787878787879,0.0963574870497657,0.0892255892255892,0.104657687991021,0.78301938570721,0.771885521885522,0.793771266490254,3564
modoc_north,laevissimus,herculeanus,modoc_west,0.197995313869691,0.185746404530417,0.218294051627385,0.258086535027519,0.241863143059243,0.27020202020202,0.54391815110279,0.531705948372615,0.554994388327722,3564
modoc_north,laevissimus,herculeanus,chromaiodes,0.0858847695084517,0.0827721428809925,0.0895061728395062,0.850218997988556,0.846801346801347,0.853254769921437,0.0638962325029919,0.0614478286890653,0.0664983351566597,3564
modoc_north,laevissimus,herculeanus,new,0.0849210076141213,0.0819304152637486,0.0892255892255892,0.834130647010404,0.829124579124579,0.837542087542088,0.0809483453754746,0.0777216610549944,0.085016835016835,3564
modoc_north,laevissimus,herculeanus,pennsylvanicus,0.0955757500714373,0.0914702581369248,0.10016835016835,0.815555021297103,0.810886644219978,0.820707070707071,0.08886922863146,0.085016835016835,0.0928731762065095,3564
modoc_north,laevissimus,novaeboracensis,herculeanus,0.811208364778275,0.762065095398429,0.846240179573513,0.0644675077083593,0.0491021324354658,0.0892255892255892,0.124324127513366,0.101851851851852,0.156846240179574,3564
